order_timestamp,day,month,year,quarter,weekday,date_id
2022-05-13T00:00:00.000Z,13,5,2022,2,6,93
2022-05-15T00:00:00.000Z,15,5,2022,2,1,94
2022-05-16T00:00:00.000Z,16,5,2022,2,2,95
2022-05-17T00:00:00.000Z,17,5,2022,2,3,96
2022-05-18T00:00:00.000Z,18,5,2022,2,4,97
2022-05-19T00:00:00.000Z,19,5,2022,2,5,98
2022-05-22T00:00:00.000Z,22,5,2022,2,1,99
2022-05-24T00:00:00.000Z,24,5,2022,2,3,100
2022-05-25T00:00:00.000Z,25,5,2022,2,4,101
2022-05-26T00:00:00.000Z,26,5,2022,2,5,102
2022-05-27T00:00:00.000Z,27,5,2022,2,6,103
2022-05-28T00:00:00.000Z,28,5,2022,2,7,104
2022-05-30T00:00:00.000Z,30,5,2022,2,2,105
2022-05-31T00:00:00.000Z,31,5,2022,2,3,106
2022-06-01T00:00:00.000Z,1,6,2022,2,4,107
2022-06-02T00:00:00.000Z,2,6,2022,2,5,108
2022-06-03T00:00:00.000Z,3,6,2022,2,6,109
2022-06-04T00:00:00.000Z,4,6,2022,2,7,110
2022-06-06T00:00:00.000Z,6,6,2022,2,2,111
2022-06-09T00:00:00.000Z,9,6,2022,2,5,112
2022-06-11T00:00:00.000Z,11,6,2022,2,7,113
2022-06-13T00:00:00.000Z,13,6,2022,2,2,114
2022-06-15T00:00:00.000Z,15,6,2022,2,4,115
2022-06-17T00:00:00.000Z,17,6,2022,2,6,116
2022-06-18T00:00:00.000Z,18,6,2022,2,7,117
2022-06-19T00:00:00.000Z,19,6,2022,2,1,118
2022-06-20T00:00:00.000Z,20,6,2022,2,2,119
2022-06-21T00:00:00.000Z,21,6,2022,2,3,120
2022-06-22T00:00:00.000Z,22,6,2022,2,4,121
2022-06-23T00:00:00.000Z,23,6,2022,2,5,122
2022-06-25T00:00:00.000Z,25,6,2022,2,7,123
2022-06-28T00:00:00.000Z,28,6,2022,2,3,124
2022-06-29T00:00:00.000Z,29,6,2022,2,4,125
2022-06-30T00:00:00.000Z,30,6,2022,2,5,126
2022-07-01T00:00:00.000Z,1,7,2022,3,6,127
2022-07-02T00:00:00.000Z,2,7,2022,3,7,128
2022-07-04T00:00:00.000Z,4,7,2022,3,2,129
2022-07-05T00:00:00.000Z,5,7,2022,3,3,130
2022-07-08T00:00:00.000Z,8,7,2022,3,6,131
2022-07-11T00:00:00.000Z,11,7,2022,3,2,132
2022-07-12T00:00:00.000Z,12,7,2022,3,3,133
2022-07-13T00:00:00.000Z,13,7,2022,3,4,134
2022-07-14T00:00:00.000Z,14,7,2022,3,5,135
2022-07-15T00:00:00.000Z,15,7,2022,3,6,136
2022-07-16T00:00:00.000Z,16,7,2022,3,7,137
2022-07-17T00:00:00.000Z,17,7,2022,3,1,138
2022-07-18T00:00:00.000Z,18,7,2022,3,2,139
2022-07-20T00:00:00.000Z,20,7,2022,3,4,140
2022-07-21T00:00:00.000Z,21,7,2022,3,5,141
2022-07-23T00:00:00.000Z,23,7,2022,3,7,142
2022-07-25T00:00:00.000Z,25,7,2022,3,2,143
2022-07-26T00:00:00.000Z,26,7,2022,3,3,144
2022-07-27T00:00:00.000Z,27,7,2022,3,4,145
2022-07-31T00:00:00.000Z,31,7,2022,3,1,146
2022-08-01T00:00:00.000Z,1,8,2022,3,2,147
2022-08-03T00:00:00.000Z,3,8,2022,3,4,148
2022-08-04T00:00:00.000Z,4,8,2022,3,5,149
2022-08-05T00:00:00.000Z,5,8,2022,3,6,150
2022-08-06T00:00:00.000Z,6,8,2022,3,7,151
2022-08-07T00:00:00.000Z,7,8,2022,3,1,152
2022-08-08T00:00:00.000Z,8,8,2022,3,2,153
2022-08-12T00:00:00.000Z,12,8,2022,3,6,154
2022-08-13T00:00:00.000Z,13,8,2022,3,7,155
2022-08-14T00:00:00.000Z,14,8,2022,3,1,156
